Date,Open,High,Low,Close,Adj Close,Volume
2019-07-24,142.440002,142.880005,141.050003,142.690002,142.165344,2946300
2019-07-25,142.600006,143.710007,141.779999,143.210007,142.683411,1317600
2019-07-26,144.039993,144.139999,141.960007,142.279999,141.756836,1567800
2019-07-29,142.350006,143.190002,141.639999,142.679993,142.155365,1468000
2019-07-30,141.979996,143.080002,141.460007,142.699997,142.175293,2040900
2019-07-31,142.490005,142.779999,139.270004,140.500000,139.983383,1986400
2019-08-01,140.839996,142.360001,139.139999,140.220001,139.704422,2489800
2019-08-02,140.279999,140.429993,138.630005,139.190002,138.678192,2021200
2019-08-05,137.169998,137.960007,134.110001,135.699997,135.201035,2780300
2019-08-06,136.289993,138.250000,135.789993,138.229996,137.721741,2984100
2019-08-07,136.289993,138.679993,134.500000,138.199997,137.691833,2064600
2019-08-08,139.089996,141.070007,138.610001,140.889999,140.371964,1870000
2019-08-09,140.750000,141.509995,139.190002,140.309998,139.794083,1306800
2019-08-12,139.559998,140.720001,138.029999,138.410004,137.901077,1047600
2019-08-13,137.720001,141.440002,137.720001,140.539993,140.023224,1675900
2019-08-14,139.130005,140.240005,136.289993,136.360001,135.858597,2390700
2019-08-15,137.740005,139.399994,136.479996,137.190002,136.685547,2248300
2019-08-16,138.570007,140.550003,137.880005,140.350006,139.833954,1988700
2019-08-19,141.820007,142.139999,140.229996,141.710007,141.188934,1604200
2019-08-20,141.910004,142.500000,140.000000,140.070007,139.554962,1551900
2019-08-21,141.399994,141.580002,139.199997,140.320007,139.804047,1458500
2019-08-22,140.750000,141.550003,138.770004,139.559998,139.046844,1244600
2019-08-23,139.520004,140.199997,134.539993,135.399994,134.902130,2258800
2019-08-26,136.380005,136.949997,134.970001,136.399994,135.898438,1461700
2019-08-27,137.979996,138.800003,137.009995,138.250000,137.741653,3026100
2019-08-28,137.429993,139.789993,137.250000,139.490005,138.977097,1636100
2019-08-29,140.639999,142.279999,140.050003,141.679993,141.159042,2204200
2019-08-30,142.820007,143.380005,141.220001,142.089996,141.567520,1960300
2019-09-03,140.550003,141.000000,138.970001,139.869995,139.355698,1920700
2019-09-04,140.479996,142.000000,139.440002,140.259995,139.744263,1564700
2019-09-05,141.880005,143.449997,140.990005,142.949997,142.424362,2231500
2019-09-06,143.589996,144.929993,143.119995,144.330002,143.799316,1712100
2019-09-09,144.100006,144.270004,139.080002,139.360001,138.847580,2026400
